19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:43 => x_odom : 0.0 , y_odom : 0.0
19/01/2023 17:29:55 => x_odom : 3.199569999999791e-07 , y_odom : -1.1556942827097388e-13
19/01/2023 17:29:55 => x_odom : 7.87334469998944e-05 , y_odom : -1.287945373363974e-10
19/01/2023 17:29:55 => x_odom : 0.00015872406919196895 , y_odom : 2.1065907969334984e-08
19/01/2023 17:29:55 => x_odom : 0.00023863004267364122 , y_odom : 6.39700629555773e-08
19/01/2023 17:29:55 => x_odom : 0.0002416567666841209 , y_odom : 6.641751280654723e-08
19/01/2023 17:29:55 => x_odom : 0.00031872435084319677 , y_odom : 1.2952849326200435e-07
19/01/2023 17:29:55 => x_odom : 0.00039922991381108265 , y_odom : 2.1654973121980846e-07
19/01/2023 17:29:55 => x_odom : 0.00040142574679631095 , y_odom : 2.19524325048183e-07
19/01/2023 17:29:55 => x_odom : 0.0004790249648086998 , y_odom : 3.2522375663208866e-07
19/01/2023 17:29:55 => x_odom : 0.0005585648746673744 , y_odom : 4.545523077847364e-07
19/01/2023 17:29:55 => x_odom : 0.0006386924455855712 , y_odom : 6.065058223268239e-07
19/01/2023 17:29:55 => x_odom : 0.000668733114932635 , y_odom : 6.716589341238349e-07
19/01/2023 17:29:55 => x_odom : 0.0019168975502543953 , y_odom : 3.2362310809269104e-06
19/01/2023 17:29:55 => x_odom : 0.0032128395326029174 , y_odom : 5.879000692016157e-06
19/01/2023 17:29:55 => x_odom : 0.003249474137619188 , y_odom : 5.9531222424323585e-06
19/01/2023 17:29:55 => x_odom : 0.004502987964073354 , y_odom : 8.488747194954273e-06
19/01/2023 17:29:55 => x_odom : 0.005800648846674463 , y_odom : 1.1093591371053625e-05
19/01/2023 17:29:55 => x_odom : 0.005854451694001128 , y_odom : 1.1200729924318702e-05
19/01/2023 17:29:55 => x_odom : 0.007091743682494735 , y_odom : 1.366374930111956e-05
19/01/2023 17:29:55 => x_odom : 0.008394985698795 , y_odom : 1.6238144905380446e-05
19/01/2023 17:29:55 => x_odom : 0.009686312355217627 , y_odom : 1.876822636802592e-05
19/01/2023 17:29:55 => x_odom : 0.00979656237403304 , y_odom : 1.8982480312160347e-05
19/01/2023 17:29:55 => x_odom : 0.013077099010847151 , y_odom : 2.446973882194227e-05
19/01/2023 17:29:55 => x_odom : 0.01648921700860352 , y_odom : 2.034984274222074e-05
19/01/2023 17:29:55 => x_odom : 0.016597587256383235 , y_odom : 1.989435474534129e-05
19/01/2023 17:29:55 => x_odom : 0.01987002363693403 , y_odom : 5.8287133605554045e-06
19/01/2023 17:29:55 => x_odom : 0.023289368914212537 , y_odom : -1.8692519362637075e-05
